t,target_x,target_y,target_theta,pos_x,pos_y,pos_theta,pos_w0,pos_w1,pos_w2,target_vx,target_vy,target_vtheta
0.940000,-0.120437,-0.153628,0.132165,-0.086671,-0.121960,0.109871,14.588043,-6.432166,-9.906078,-0.359304,-0.343903,0.237006
0.950000,-0.122820,-0.156618,0.134865,-0.088894,-0.124635,0.111735,14.662252,-6.512488,-9.995456,-0.361497,-0.346585,0.249938
0.960000,-0.125222,-0.159630,0.137589,-0.091082,-0.127397,0.114021,14.750373,-6.569057,-10.090500,-0.363280,-0.349948,0.258535
0.970000,-0.127642,-0.162662,0.140337,-0.093351,-0.130315,0.115400,14.850327,-6.645245,-10.148384,-0.365591,-0.352655,0.263156
0.980000,-0.130079,-0.165716,0.143108,-0.095534,-0.133161,0.117336,14.885413,-6.730714,-10.200840,-0.367284,-0.354006,0.277082
0.990000,-0.132535,-0.168790,0.145903,-0.097725,-0.136044,0.119881,14.977540,-6.829178,-10.257906,-0.370013,-0.356295,0.285667
1.000000,-0.135009,-0.171885,0.148721,-0.099939,-0.138798,0.123166,15.084440,-6.927406,-10.286738,-0.372840,-0.358409,0.288397
1.010000,-0.137500,-0.175000,0.151563,-0.102012,-0.141627,0.126853,15.236702,-6.999719,-10.333955,-0.375611,-0.362024,0.283965
1.020000,-0.140009,-0.178135,0.154427,-0.104080,-0.144320,0.131378,15.427578,-7.121320,-10.342518,-0.379971,-0.365077,0.275743
1.030000,-0.142535,-0.181290,0.157315,-0.106120,-0.147244,0.135903,15.674439,-7.223999,-10.365815,-0.384547,-0.369701,0.259374
1.040000,-0.145078,-0.184464,0.160226,-0.108258,-0.150090,0.138615,15.891700,-7.366369,-10.321469,-0.389576,-0.372203,0.243227
1.050000,-0.147638,-0.187658,0.163159,-0.110448,-0.153043,0.141740,16.059096,-7.493448,-10.378174,-0.393808,-0.375671,0.245446
1.060000,-0.150216,-0.190870,0.166116,-0.112649,-0.156110,0.144908,16.211519,-7.617714,-10.393879,-0.397680,-0.378272,0.243760
1.070000,-0.152810,-0.194102,0.169095,-0.114954,-0.159057,0.146875,16.347330,-7.755032,-10.378407,-0.401602,-0.379922,0.241869
1.080000,-0.155420,-0.197352,0.172096,-0.117507,-0.162091,0.147478,16.456429,-7.863930,-10.454990,-0.404657,-0.382954,0.252212
1.090000,-0.158047,-0.200621,0.175120,-0.120076,-0.165273,0.147828,16.460489,-7.927596,-10.574196,-0.405398,-0.385300,0.276426
1.100000,-0.160691,-0.203908,0.178167,-0.122700,-0.168551,0.148122,16.432712,-8.009090,-10.664045,-0.406148,-0.386345,0.303391
1.110000,-0.163350,-0.207213,0.181235,-0.125382,-0.171752,0.148160,16.378451,-8.088868,-10.734879,-0.406496,-0.386617,0.331134
